id,titulo,texto,data,fonte
11,"Selic deve recuar a 9% até o fim de 2024, projetam economistas","Publicado em: 15/08/2023 às 14h20 Economistas consultados pelo Banco Central no Relatório Focus revisaram para baixo a projeção para a taxa Selic ao final de 2024, de 9,25% para 9,00% ao ano. A mudança reflete a percepção de que o ciclo de afrouxamento monetário poderá ser mais agressivo caso a inflação continue a recuar. Para o final de 2023, a mediana das expectativas permanece em 11,75%. O IPCA esperado para 2023 foi revisado de 4,92% para 4,84%, ainda acima da meta de 3,25%. O presidente do BC, Roberto Campos Neto, reiterou que as decisões serão tomadas ""reunião a reunião"", sem compromissos antecipados com um ritmo de corte específico.",2023-08-15,Banco Central do Brasil
12,"PIB do agronegócio cresce 15,1% no primeiro semestre e impulsiona economia","31/07/2023 O PIB do agronegócio cresceu 15,1% no primeiro semestre de 2023 em relação ao mesmo período do ano anterior, segundo dados da Confederação da Agricultura e Pecuária do Brasil (CNA) e do CEPEA/USP . O setor representou 24,8% do PIB nacional no período. A safra de grãos 2022/2023 foi estimada em 322,7 milhões de toneladas, recorde histórico, com crescimento de 15,1% ante a safra anterior. Soja, milho e algodão foram os principais responsáveis pelo resultado excepcional. Segundo especialistas, o desempenho do agro foi decisivo para evitar uma recessão técnica da economia brasileira no primeiro trimestre de 2023.",2023-07-31,CNA / CEPEA
13,"Balança comercial fecha julho com superávit de R$ 10,3 bilhões","07/08/2023 A balança comercial brasileira registrou superávit de US$ 10,3 bilhões em julho de 2023, o segundo melhor resultado da história para o mês. No acumulado do ano, o saldo positivo chega a US$ 56,2 bilhões. O bom desempenho das exportações é atribuído principalmente à safra agrícola recorde, que impulsionou as vendas externas de commodities. O Brasil deve registrar superávit comercial recorde em 2023, podendo ultrapassar US$ 100 bilhões pela primeira vez na história. Fonte: MDIC — www.gov.br/mdic",2023-08-07,MDIC
14,Desemprego juvenil no Brasil ainda preocupa apesar de melhora geral,"Publicado em: 30/08/2023 às 11h00 Apesar da melhora generalizada no mercado de trabalho, a taxa de desemprego entre jovens de 18 a 24 anos ainda se mantém elevada, em 17,8% no segundo trimestre de 2023, mais do que o dobro da taxa geral de 7,9%, segundo a PNAD Contínua do IBGE . O emprego informal entre os jovens também preocupa: 52% dos jovens empregados não possuem carteira assinada. Programas governamentais de qualificação profissional e aprendizagem foram apontados como essenciais para reduzir esse hiato. Especialistas do Ministério do Trabalho destacam que a inserção de jovens no mercado formal exige, além de qualificação, mudanças estruturais na economia.",2023-08-30,IBGE
15,Câmbio: real se fortalece com melhora do ambiente externo e fiscal,"Publicado em: 28/08/2023 O real acumulou valorização de 6,8% frente ao dólar no mês de agosto, tornando-se a moeda de melhor desempenho entre as emergências no período. O movimento foi impulsionado pela combinação de melhora no cenário externo — com expectativa de pausa no aperto monetário nos EUA — e avanços na agenda fiscal doméstica. A aprovação do arcabouço fiscal no Congresso e sinais positivos do mercado de trabalho contribuíram para reduzir o prêmio de risco do país. O CDS Brasil de 5 anos recuou para 170 pontos-base, o menor nível em dois anos.",2023-08-28,Reuters Brasil
16,IGP-M registra terceira deflação consecutiva em agosto,"30/08/2023 — FGV IBRE O Índice Geral de Preços — Mercado (IGP-M) registrou variação de -0,53% em agosto, a terceira deflação consecutiva. No acumulado de doze meses, o índice acumula queda de 6,96%, segundo a FGV IBRE . O IPA (atacado) recuou 0,80%, com destaque para a queda nos preços dos produtos agropecuários (-1,45%). O IPC (consumidor) subiu 0,19%, influenciado principalmente pelos grupos de Alimentação e Saúde e Cuidados Pessoais. O INCC (construção civil) avançou 0,22%, reflexo das pressões pontuais em mão de obra no setor.",2023-08-30,FGV IBRE
17,Confiança do consumidor sobe pelo quarto mês seguido em agosto,"29/08/2023 O Índice de Confiança do Consumidor (ICC) da FGV IBRE avançou 1,2 pontos em agosto, para 92,4 pontos, a quarta alta consecutiva. O resultado ainda está abaixo da média histórica de 100 pontos, mas aponta para recuperação gradual do otimismo das famílias. A melhora foi observada tanto no componente de Situação Atual (+0,8 pontos) quanto nas Expectativas (+1,5 pontos). Entre os fatores apontados pelos consumidores como positivos estão a queda do desemprego e o ar arrefecimento da inflação. Para acessar o relatório completo, visite o Portal FGV IBRE .",2023-08-29,FGV IBRE
18,Nota curta,Selic.,2023-08-01,Desconhecida
19,"Setor de serviços cresce 0,6% em junho e supera expectativas","Publicado em: 11/08/2023 às 09h00 A Pesquisa Mensal de Serviços (PMS) do IBGE revelou crescimento de 0,6% no volume de serviços em junho de 2023 em relação a maio, acima da expectativa de 0,3%. No acumulado do ano, o setor avança 3,8%. As atividades de Serviços prestados às famílias , como turismo e alimentação, lideraram o crescimento com alta de 1,5%. Transportes e correios também contribuíram positivamente, com +0,8%. O desempenho do setor de serviços, que representa cerca de 70% do PIB brasileiro, é visto como indicativo da solidez do consumo interno das famílias, impulsionado pela melhora no mercado de trabalho e pela redução da inflação.",2023-08-11,IBGE
20,"Expectativas para o PIB de 2023 sobem para 2,5% após resultado do segundo trimestre","05/09/2023 Após o PIB surpreender positivamente no segundo trimestre, economistas do mercado financeiro revisaram para cima suas projeções para o crescimento da economia em 2023. A mediana das expectativas no Focus saltou de 2,0% para 2,5%. O resultado acima do esperado foi impulsionado principalmente pelo agronegócio e pela solidêz do setor de serviços. Para o segundo semestre, entretanto, analistas projetam desaceleração, dado o efeito base desfavorável e o impacto defasado dos juros altos sobre a atividade. O Ministério da Fazenda também revisou sua projeção, de 2,0% para 2,5%, e destacou que o país está em trajetória de crescimento sustentado.",2023-09-05,Valor Econômico
